JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2423638.248,8.05,,,Vis.,ZGB,,NA,,NA,"""B3V7G,B4V""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423638.316,8.05,,,Vis.,ZGB,,NA,,NA,"""B4V,B3V7G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423639.182,7.99,,,Vis.,ZGB,,NA,,NA,B2V,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423639.257,8.08,,,Vis.,ZGB,,NA,,NA,"""B4V6G,B5V""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423640.194,8.06,,,Vis.,ZGB,,NA,,NA,"""B4-5V,B3V7G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423640.243,8.06,,,Vis.,ZGB,,NA,,NA,"""B5V,B3V7G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423641.252,7.85,,,Vis.,ZGB,,NA,,NA,"""V4B,A6V4B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423641.332,7.85,,,Vis.,ZGB,,NA,,NA,"""A6V4B,V4B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423642.289,7.85,,,Vis.,ZGB,,NA,,NA,"""V4B,A6V4B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423642.433,7.94,,,Vis.,ZGB,,NA,,NA,V1-0B,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423643.336,7.84,,,Vis.,ZGB,,NA,,NA,"""V5B,AVB""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423644.198,8.00,,,Vis.,ZGB,,NA,,NA,"""B2-3V,B1V9G""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423644.292,7.89,,,Vis.,ZGB,,NA,,NA,"""VB,V3B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423646.268,7.95,,,Vis.,ZGB,,NA,,NA,VB,,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
2423647.177,7.88,,,Vis.,ZGB,,NA,,NA,"""V2B,A7-8V3-2B""",,,Z,,,,AC HER,,STD,,1928TrTas...1...33Z,BBI,
