JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458864.4986,1.524,0.012,,V,BVE,,SAO 112958,SAO 113186,PEP,| HAZY | SCOPE=10IN_SCT | SENSOR=SSP3 | LOC=51.7N/-5.5E | INDEX=BV | TV_BV=-0.036 | K_V_EST=0.25 | DELTA=0.828 | CREFMAG=4.082 | PROG=PEP_BV_V1.7.XLS |,1,1.60,Z,-3.631,-1.701,,ALF ORI,KNVWS,STD,,,,
2458864.4995,3.309,0.011,,B,BVE,,SAO 112958,SAO 113186,PEP,| HAZY | SCOPE=10IN_SCT | SENSOR=SSP3 | LOC=51.7N/-5.5E | INDEX=BV | TB_BV=0.111 | K_B_EST=0.38 | KK_BV=-0.069 | DELTA=0.828 | CREFMAG=5.039 | PROG=PEP_BV_V1.7.XLS |,1,1.60,Z,-2.524,-0.262,,ALF ORI,KNVWS,STD,,,,
2458864.52431,1.5,,,Vis.,LALB,,zeta ori,pollux,10-star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458864.556,1.7,,,Vis.,PYG,U,GAMMAGEM+2,,AAVSO 2008,,,,Z,,,,ALF ORI,BAA-VSS,STD,,,,
2458864.55818,1.5,,,Vis.,NREA,,12,17,10-star,,,,Z,,,,ALF ORI,RASC,STD,,,,
2458864.58403,1.5,,,Vis.,HUZ,,09,17,10-star tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.159074,1.696,,,CV,OAAA,,ALNITAK,SAIPH,10 STAR TUTORIAL,,0,,Z,1.769,2.205,,BETELGEUSE,AAVSO,STD,,,,
2458865.166,1.3,,,Vis.,ZOLA,,1.1,1.6,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.175046,1.733,,,CV,OAAA,,ALNITAK,SAIPH,10 STAR TUTORIAL,,0,,Z,1.710,2.211,,BETELGEUSE,AAVSO,STD,,,,
2458865.187,1.3,,,Vis.,NDAA,,1.1,1.6,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.208,1.3,,,Vis.,LNAA,,1.1,1.6,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.208,1.3,,,Vis.,LOLA,,1.1,1.6,AAVSO,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.25208,1.5,,,Vis.,ATOB,,12,19,10-star,,,,Z,,,,ALF ORI,AS,STD,,,,
2458865.2556,1.500,0.05,,V,CMF,,ENSEMBLE,,,,1,,Z,,,,ALF ORI,BAV,STD,,,,
2458865.27083,1.5,,,Vis.,KMWA,K,Belatrix,Pollux,Cartes du Ciel,,,,Z,,,,BETELGEUSE,BAV,STD,,,,
2458865.27847,<1.3,,,Vis.,RMOA,B,gam Ori,alf Tau,X25077AJS,Error is 0.3 magnitude. It was just a little brighter than gam Ori (1.6). I used the indirect method to compare its brightness with gam Ori.,,,Z,,,,ALF ORI,,STD,,,,
2458865.2938,1.7,,,Vis.,MUY,,1.1,1.8,0.0,COMP STARS BETA GEM - ZETA ORI,,,Z,,,,ALF ORI,VVS,STD,,,,
2458865.308,1.9,,,Vis.,LTO,,0.87,1.79,NA,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458865.33,1.4,,,Vis.,WBOA,,Bellatrix,Aldebaran,X24963ATG,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.33715,1.4,,,Vis.,DVIA,BU,12,16,10 star chart,,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458865.35764,1.30,,,Vis.,SGQ,U,bet Gem mv=1.16,alf Gem mv=1.58,Tirion2000.0/Simbad,"""Roma, largo S. Lucia Filippini. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.36250,1.4,,,Vis.,CSZ,,0.9,1.6,"Aldebaran, Bellatrix",,,,Z,,,,ALF ORI,MCSE,STD,,,,
2458865.36389,1.2,,,Vis.,MVO,,12,16,080101+X25090ACW,,,,Z,,,,ALF ORI,URSA,STD,,,,
2458865.381,1.7,,,Vis.,LTO,,0.87,1.79,NA,,,,Z,,,,ALF ORI,BAV,STD,,,,
2458865.3866,1.517,0.027,,V,BVE,,SAO 112958,SAO 113186,PEP,| SCOPE=10IN_SCT | SENSOR=SSP3 | LOC=51.7N/-5.5E | INDEX=BV | TV_BV=-0.036 | K_V_EST=0.25 | DELTA=0.844 | CREFMAG=4.082 | PROG=PEP_BV_V1.7.XLS |,1,1.38,Z,-3.313,-1.431,,ALF ORI,KNVWS,STD,,,,
2458865.3873,3.318,0.018,,B,BVE,,SAO 112958,SAO 113186,PEP,| SCOPE=10IN_SCT | SENSOR=SSP3 | LOC=51.7N/-5.5E | INDEX=BV | TB_BV=0.111 | K_B_EST=0.38 | KK_BV=-0.069 | DELTA=0.844 | CREFMAG=5.039 | PROG=PEP_BV_V1.7.XLS |,1,1.38,Z,-2.301,-0.036,,ALF ORI,KNVWS,STD,,,,
2458865.42792,1.536,0.02,,V,NOT,,000-BBJ-738,000-BBK-574,X24958AHS,,0,1.37,Z,4.090,4.141,,ALF ORI,BAV,STD,,,,
2458865.46875,1.55,,,Vis.,MDP,,09,18,stars from alert not,comps from article,,,Z,,,,ALF ORI,RASC,STD,,,,
2458865.52431,1.4,,,Vis.,BJS,,12,19,Tutorial,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.545,1.3,,,Vis.,RRIA,,1.2,1.6,10 STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.54514,1.699,0.08,,TG,MDAG,K,Ensemble,Bellatrix,Astroart GSC Data,,0,,Z,-,1.64,,BETELGEUSE,AAVSO,STD,,,,
2458865.65833,1.4,,,Vis.,DDJ,U,0.12,2.1,10 STAR,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458865.85069,1.8,,,Vis.,LVY,,0.3,1.6,a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458866.22014,1.35,,,Vis.,SGQ,UL,Bet Gem mv=1.16,Alf Gem mv=1.58,Tirion2000.0/Simbad,"""Pescara, ICRANet, Betelgeuse dimming meeting. Naked eye with airmass correction.""",,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458866.29028,1.4,,,Vis.,COV,,1.1,1.9,a,,,,Z,,,,ALF ORI,AAVSO,STD,,,,
2458866.30208,1.50,,,Vis.,NMMA,,1.64,1.71,Bright Star Catalog,gam Ori and eps Ori,,,Z,,,,BETELGEUSE,AAVSO,STD,,,,
2458866.34935,1.590,,,CV,OAAA,,ALDEBARAN,ALNITAK,10 STAR TUTORIAL,,0,,Z,0.840,1.759,,BETELGEUSE,AAVSO,STD,,,,
2458866.371134,1.883,,,CV,OAAA,L,ALNITAK,SAIPH,10 STAR TUTORIAL,,0,,Z,1.916,2.261,,BETELGEUSE,AAVSO,STD,,,,
2458866.40625,1.5,,,Vis.,MJOE,,19,12,10 Stars,,,,Z,,,,ALF ORI,,STD,,,,
